"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","Создание пользователя с пустым обязательным полем (пароль)","tests","Thu Jul 17 17:41:17 MSK 2025","passed","Thu Jul 17 17:41:17 MSK 2025","TestCreateUser","test_create_user","",""
"","93","Создание заказа с ингредиентами без авторизации","tests","Thu Jul 17 17:41:16 MSK 2025","passed","Thu Jul 17 17:41:16 MSK 2025","TestCreateOrder","test_create_order","",""
"","2462","Создание заказа с авторизацией","tests","Thu Jul 17 17:41:13 MSK 2025","passed","Thu Jul 17 17:41:15 MSK 2025","TestCreateOrder","test_create_order","",""
"","80","Создание заказа с невалидными ингредиентами","tests","Thu Jul 17 17:41:16 MSK 2025","passed","Thu Jul 17 17:41:16 MSK 2025","TestCreateOrder","test_create_order","",""
"","77","Создание заказа без ингредиентов","tests","Thu Jul 17 17:41:16 MSK 2025","passed","Thu Jul 17 17:41:16 MSK 2025","TestCreateOrder","test_create_order","",""
"","818","Вход под существующим пользователем","tests","Thu Jul 17 17:41:17 MSK 2025","passed","Thu Jul 17 17:41:18 MSK 2025","TestLoginUser","test_login_user","",""
"","87","Вход с некорректным логином и паролем","tests","Thu Jul 17 17:41:18 MSK 2025","passed","Thu Jul 17 17:41:18 MSK 2025","TestLoginUser","test_login_user","",""
"","159","Создание уникального пользователя","tests","Thu Jul 17 17:41:16 MSK 2025","passed","Thu Jul 17 17:41:17 MSK 2025","TestCreateUser","test_create_user","",""
"","248","Создание уже зарегистрированного пользователя","tests","Thu Jul 17 17:41:17 MSK 2025","passed","Thu Jul 17 17:41:17 MSK 2025","TestCreateUser","test_create_user","",""
"","80","Создание заказа без авторизации","tests","Thu Jul 17 17:41:15 MSK 2025","passed","Thu Jul 17 17:41:16 MSK 2025","TestCreateOrder","test_create_order","",""
